symbol,price_ticks,volume
A,1114400,6
A,1114600,94
A,1114800,140
A,1115200,292
A,1115300,562
A,1115400,138
A,1115500,332
A,1115600,81
A,1115700,30
A,1115800,494
A,1115900,425
A,1116000,403
A,1116100,541
A,1116200,148
A,1116300,283
A,1116400,354
A,1116500,1163
A,1116600,719
A,1116700,947
A,1116800,1286
A,1116900,1911
A,1117000,1765
A,1117100,3722
A,1117200,2801
A,1117300,3030
A,1117400,3156
A,1117500,1583
A,1117600,544
A,1117700,1505
A,1117800,2233
A,1117900,1360
A,1118000,776
A,1118100,847
A,1118200,567
A,1118300,427
A,1118400,597
A,1118500,568
A,1118600,344
A,1118700,328
A,1118800,894
A,1118900,388
A,1119000,1352
A,1119100,480
A,1119200,182
A,1119300,517
A,1119400,518
A,1119500,1019
A,1119600,536
A,1119700,1082
A,1119800,531
A,1119900,654
A,1120000,295
A,1120100,459
A,1120300,315
A,1120400,326
A,1120500,253
A,1120600,113
A,1120700,187
A,1120800,983
A,1120900,1021
A,1121000,415
A,1121100,479
A,1121200,567
A,1121300,389
A,1121400,187
A,1121500,311
A,1121600,931
A,1121700,309
A,1121800,277
A,1121900,210
A,1122000,317
A,1122100,588
A,1122200,544
A,1122300,626
A,1122400,405
A,1122500,466
A,1122600,851
A,1122700,418
A,1122800,637
A,1122900,911
A,1123000,299
A,1123100,1089
A,1123200,416
A,1123300,300
A,1123400,490
A,1123500,507
A,1123600,1117
A,1123700,139
A,1123800,636
A,1123900,181
A,1124000,361
A,1124100,403
A,1124200,195
A,1124300,772
A,1124400,1337
A,1124500,844
A,1124600,324
A,1124700,362
A,1124800,361
A,1124900,572
A,1125000,255
A,1125100,542
A,1125200,90
A,1125300,240
A,1125400,18
A,1125500,16
A,1125600,37
A,1125700,132
A,1125800,2
A,1125900,201
A,1126000,30
A,1126100,156
A,1126200,21
A,1126300,3
A,1126600,20
A,1126700,26
A,1126800,34
A,1126900,20
A,1127000,53
A,1127100,16
A,1127300,4
A,1127700,42
A,1130000,40
A,1130400,40
A,1131000,2
A,1131500,20
A,1132500,10
AA,617700,31
AA,618000,939
AA,618100,977
AA,618200,820
AA,618300,988
AA,618400,147
AA,618500,56
AA,618600,148
AA,618700,272
AA,618800,938
AA,618900,705
AA,619000,2519
AA,619100,1365
AA,619200,1315
AA,619300,1701
AA,619400,988
AA,619500,420
AA,619600,530
AA,619700,1905
AA,619800,484
AA,619900,1152
AA,620000,1295
AA,620100,2656
AA,620200,2723
AA,620300,1498
AA,620400,2143
AA,620500,4178
AA,620600,2798
AA,620700,3744
AA,620800,4084
AA,620900,3379
AA,621000,3012
AA,621100,4199
AA,621200,4796
AA,621300,6527
AA,621400,4095
AA,621500,7410
AA,621600,5043
AA,621700,3656
AA,621800,3352
AA,621900,3074
AA,622000,5217
AA,622100,4923
AA,622200,6492
AA,622300,9796
AA,622400,4331
AA,622500,5352
AA,622600,5132
AA,622700,2803
AA,622800,2117
AA,622900,1971
AA,623000,3736
AA,623100,5328
AA,623200,4425
AA,623300,5850
AA,623400,4551
AA,623500,3406
AA,623600,2973
AA,623700,4013
AA,623800,4285
AA,623900,2478
AA,624000,4437
AA,624100,1754
AA,624200,2244
AA,624300,4832
AA,624400,2949
AA,624500,2222
AA,624600,1898
AA,624700,493
AA,624800,6712
AA,624900,1628
AA,625000,2514
AA,625100,2154
AA,625200,1851
AA,625300,1997
AA,625400,1302
AA,625500,91
AA,625600,1054
AA,625700,502
AA,625800,686
AA,625900,160
AA,626000,671
AA,626100,826
AA,626200,261
AA,626300,460
AA,626400,283
AA,626500,986
AA,626600,364
AA,626700,458
AA,626800,361
AA,626900,1232
AA,627000,703
AA,627100,76
AA,627200,539
AA,627300,194
AA,627400,355
AA,627500,1720
AA,627600,405
AA,627700,478
AA,627800,303
AA,627900,78
AA,628000,774
AA,628100,97
AA,628200,615
AA,628300,414
AA,628400,210
