symbol,price_ticks,volume
A,1114400,6
A,1114600,94
A,1114800,140
A,1115100,80
A,1115200,432
A,1115300,962
A,1115400,185
A,1115500,362
A,1115550,100
A,1115600,202
A,1115700,30
A,1115750,100
A,1115800,649
A,1115900,780
A,1115950,1
A,1116000,422
A,1116100,759
A,1116200,149
A,1116300,328
A,1116400,448
A,1116450,82
A,1116500,1348
A,1116600,1330
A,1116650,51
A,1116700,1438
A,1116750,329
A,1116800,2095
A,1116850,321
A,1116900,2384
A,1116950,4
A,1117000,2417
A,1117050,149
A,1117100,4584
A,1117150,200
A,1117200,3944
A,1117250,10
A,1117300,3826
A,1117350,216
A,1117400,4155
A,1117450,118
A,1117500,3206
A,1117550,68
A,1117600,1043
A,1117650,26
A,1117700,2574
A,1117800,2526
A,1117900,1664
A,1117950,6
A,1118000,1192
A,1118100,1075
A,1118200,619
A,1118300,734
A,1118400,937
A,1118500,1006
A,1118550,101
A,1118600,608
A,1118650,100
A,1118700,649
A,1118800,1375
A,1118900,717
A,1119000,1556
A,1119050,18
A,1119100,579
A,1119200,683
A,1119300,691
A,1119400,621
A,1119450,2
A,1119500,1237
A,1119550,100
A,1119600,870
A,1119650,100
A,1119700,1300
A,1119750,36
A,1119800,972
A,1119900,775
A,1119950,100
A,1120000,587
A,1120100,562
A,1120150,41
A,1120200,125
A,1120300,575
A,1120350,100
A,1120400,534
A,1120500,540
A,1120600,334
A,1120700,284
A,1120800,1009
A,1120850,50
A,1120900,1173
A,1121000,904
A,1121050,89
A,1121100,1050
A,1121200,1180
A,1121300,540
A,1121400,531
A,1121450,300
A,1121500,337
A,1121550,29
A,1121600,1272
A,1121700,606
A,1121800,330
A,1121850,60
A,1121900,291
A,1122000,392
A,1122100,824
A,1122200,663
A,1122300,950
A,1122350,180
A,1122400,684
A,1122450,14
A,1122500,744
A,1122550,85
A,1122600,975
A,1122650,9
A,1122700,992
A,1122750,29
A,1122800,917
A,1122900,1505
A,1122950,32
A,1123000,552
A,1123050,11
A,1123100,1681
A,1123200,922
A,1123300,884
A,1123350,63
A,1123400,643
A,1123450,140
A,1123500,957
A,1123600,1243
A,1123650,340
A,1123700,320
A,1123750,20
A,1123800,880
A,1123900,508
A,1123950,7
A,1124000,756
A,1124100,654
A,1124200,405
A,1124250,100
A,1124300,888
A,1124400,1487
A,1124500,1366
A,1124600,418
A,1124700,571
A,1124800,448
A,1124850,40
A,1124900,634
A,1125000,911
A,1125050,23
A,1125100,605
A,1125200,272
A,1125300,292
A,1125350,137
A,1125400,138
A,1125450,100
A,1125500,40
A,1125600,38
A,1125700,162
A,1125800,2
A,1125900,201
A,1126000,115
A,1126100,179
A,1126150,100
A,1126200,55
A,1126250,64
A,1126300,30
A,1126350,140
A,1126500,78
A,1126600,20
A,1126700,56
A,1126800,84
A,1126900,21
A,1127000,53
A,1127100,16
A,1127300,4
A,1127450,40
A,1127700,163
A,1129000,137
A,1129700,5
A,1130000,40
A,1130400,40
A,1131000,2
A,1131500,20
A,1132500,10
AA,617700,31
AA,617900,100
AA,618000,1069
AA,618100,1247
AA,618200,878
AA,618250,2
AA,618300,1296
AA,618350,35
AA,618400,147
AA,618500,56
AA,618600,148
AA,618700,272
AA,618750,76
AA,618800,938
AA,618900,705
AA,619000,2673
AA,619100,1471
AA,619150,145
AA,619200,1650
AA,619250,273
AA,619300,1929
AA,619350,26
AA,619400,1021
AA,619500,499
AA,619600,703
AA,619650,10
AA,619700,2129
AA,619800,549
AA,619850,25
AA,619900,1434
AA,619950,140
AA,620000,1907
AA,620100,3839
AA,620200,3208
AA,620250,109
AA,620300,2326
AA,620350,264
AA,620400,3410
AA,620450,70
AA,620500,4779
AA,620550,362
AA,620600,3389
AA,620650,84
AA,620700,5001
AA,620750,114
AA,620800,4370
AA,620900,4915
AA,620950,858
AA,621000,4303
AA,621050,67
AA,621100,5707
AA,621150,583
AA,621200,6713
