locate,symbol,prints,unpriced,min_tick,max_tick,shares,vwap_micro
7653,NCEW,4,0,150000,150000,7,150000000000
9317,RAVI,1,0,753700,753700,90,753700000000
9525,RITR,1,0,4877,4877,100,4877000000
2845,DDFY,1,0,210000,210000,1,210000000000
4067,FGRU,1,0,231700,231700,3,231700000000
5730,IMTB,7,0,428700,428700,500,428700000000
9777,SABSW,2,0,196,196,3000,196000000
11533,UPW,1,0,227200,227200,15,227200000000
6119,JETU,1,0,244000,244000,46,244000000000
8976,PSEC-A,1,0,167200,167200,1,167200000000
8152,ODHY,1,0,101500,101500,2,101500000000
6668,LGHT,1,0,80900,80900,2,80900000000
5404,HYGH,1,0,860000,860000,139,860000000000
7435,MSST,2,0,417400,417400,3,417400000000
4264,FNGO,1,0,1332000,1332000,60,1332000000000
11763,VGHY,1,0,745000,745000,4,745000000000
5534,IBX,1,0,192200,192200,50,192200000000
8892,PRENW,1,0,178,178,474,178000000
2238,CLIP,2,0,1002300,1002300,1596,1002300000000
5056,GYLD,1,0,138900,138900,1,138900000000
8091,NYYY,1,0,487400,487400,25,487400000000
2507,CRAC,1,0,100800,100800,30,100800000000
7241,MLCIL,1,0,233700,233700,1,233700000000
5610,IFBD,1,0,9200,9200,1,9200000000
7029,MCHX,1,0,16200,16200,511,16200000000
5250,HNNAZ,1,0,250900,250900,2,250900000000
6917,MACI,1,0,108500,108500,862,108500000000
6639,LFAC,4,0,100000,100000,690,100000000000
6447,KPLTW,1,0,18,18,500,18000000
4576,GDHG,1,0,17500,17500,2,17500000000
9953,SDHI,2,0,103900,103900,1380,103900000000
2274,CLWT,1,0,12000,12000,2,12000000000
8381,OXLCP,1,0,249400,249400,3,249400000000
6851,LTCC,1,0,139600,139600,100,139600000000
6794,LPBB,1,0,106800,106800,2,106800000000
3068,DMII,1,0,100300,100300,900,100300000000
7080,MEGL,1,0,11000,11000,108,11000000000
5740,INAC,1,0,102400,102400,862,102400000000
4235,FMFC,1,0,4085,4085,100,4085000000
3815,EXOZ,1,0,95000,95000,34,95000000000
5236,HLXC,1,0,102000,102000,5,102000000000
8949,PSA-K,1,0,187100,187100,90,187100000000
5042,GWX,1,0,457600,457600,100,457600000000
3506,EMET,1,0,439900,439900,1,439900000000
8872,PQAP,1,0,317100,317100,26,317100000000
8190,OIMAU,1,0,101400,101400,100,101400000000
4052,FGDL,3,0,605100,605500,300,605333333333
9793,SAIH,2,0,115100,115100,2,115100000000
2762,DABS,1,0,503700,503700,100,503700000000
8273,OPHC,3,0,54900,55000,202,54999009900
3983,FEBW,1,0,352000,352000,100,352000000000
2422,COPL,1,0,103900,103900,1,103900000000
7975,NUEM,3,0,406600,406700,200,406650000000
487,AMAX,2,0,80000,80000,37,80000000000
5143,HECO,1,0,585400,585400,1,585400000000
7379,MRT,1,0,20400,20400,4,20400000000
1994,CCTG,4,0,4699,4800,273,4788428571
2519,CRBD,4,0,231300,231300,300,231300000000
9147,QETA,5,0,116400,117700,206,117674757281
8111,OBA,1,0,102300,102300,1,102300000000
8377,OXLCL,1,0,244700,244700,20,244700000000
7920,NSA-B,1,0,287500,287500,19,287500000000
3136,DRMAW,1,0,139,139,29,139000000
6582,LCCCU,1,0,104400,104400,4,104400000000
3297,EAOK,1,0,278600,278600,14,278600000000
457,ALOVU,1,0,100300,100300,3,100300000000
6832,LRNZ,1,0,504900,504900,30,504900000000
6493,KTH,1,0,281300,281300,1,281300000000
5987,IVSI,1,0,277000,277000,18,277000000000
3148,DSAC,1,0,99500,99500,3,99500000000
